Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | 10.2     |
| time/              |          |
|    fps             | 180      |
|    iterations      | 1        |
|    time_elapsed    | 11       |
|    total_timesteps | 2048     |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 17.2       |
| time/                   |            |
|    fps                  | 179        |
|    iterations           | 2          |
|    time_elapsed         | 22         |
|    total_timesteps      | 4096       |
| train/                  |            |
|    approx_kl            | 0.01147094 |
|    clip_fraction        | 0.102      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.92      |
|    explained_variance   | 0.0735     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0299     |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0154    |
|    std                  | 0.997      |
|    value_loss           | 0.114      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 20.3        |
| time/                   |             |
|    fps                  | 192         |
|    iterations           | 3           |
|    time_elapsed         | 31          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.012043721 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.91       |
|    explained_variance   | 0.0178      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.179       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0172     |
|    std                  | 0.997       |
|    value_loss           | 0.491       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 19.8        |
| time/                   |             |
|    fps                  | 201         |
|    iterations           | 4           |
|    time_elapsed         | 40          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.013763061 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.89       |
|    explained_variance   | 0.227       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0438      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0191     |
|    std                  | 0.992       |
|    value_loss           | 0.37        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 21.2       |
| time/                   |            |
|    fps                  | 205        |
|    iterations           | 5          |
|    time_elapsed         | 49         |
|    total_timesteps      | 10240      |
| train/                  |            |
|    approx_kl            | 0.01425837 |
|    clip_fraction        | 0.153      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.83      |
|    explained_variance   | 0.654      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0709     |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0215    |
